,Act
1607,6.6328
195,6.2422
310,5.8473
961,6.8338
873,6.2636
666,5.9844
427,6.6856
955,6.2853
919,6.6026
1323,6.1393
857,5.3001
1733,6.9726
703,6.4783
479,6.8785
1230,5.9183
1577,6.3891
425,6.3641
559,5.3001
296,5.3786
1451,6.4084
1467,6.0584
727,6.9621
1558,5.9798
248,6.1207
1549,6.9918
925,6.5807
1439,5.9655
632,6.8822
251,6.4218
120,6.6303
221,6.1394
564,5.3001
119,5.3001
101,6.4764
1405,6.8759
405,5.3001
793,5.8293
1706,6.3224
482,6.613
154,7.1881
1338,6.1659
1592,6.5952
823,6.7823
366,6.2819
685,5.6458
1617,6.8987
1703,7.2652
951,7.023
895,6.5063
73,6.9566
124,6.1217
1445,6.9897
364,6.1318
841,6.0647
189,5.3001
357,5.7817
721,7.1684
341,6.9153
271,7.2024
697,6.3309
36,4.6012
311,7.2947
1118,5.7023
623,6.3687
861,5.3001
107,6.4713
1756,6.9534
1479,6.1207
1156,6.8132
671,5.8833
362,5.3735
1123,6.3994
1771,6.3987
440,6.1578
734,6.3828
1597,6.5283
208,6.3015
1595,6.6999
1090,6.7413
1806,6.5489
