,Act
1420,6.1958
1047,6.7447
1657,6.6246
1356,6.3662
1671,6.6625
812,7.0093
1391,6.47
1404,6.6292
1380,6.315
708,6.8508
1340,6.5945
1160,6.6772
182,6.5537
174,6.1191
1364,6.9738
1163,5.7564
328,6.0174
354,5.9296
996,6.3519
93,7.1167
1058,6.1067
801,7.1448
195,6.2422
639,6.1827
19,5.4763
1673,6.642
1376,6.2666
1506,6.9103
1006,6.3851
474,6.2519
645,5.3001
329,6.6682
1294,7.105
1523,6.086
1057,6.3477
1760,6.142
1173,5.6849
203,6.7092
1135,6.8279
1529,6.2951
400,5.641
1043,5.77
1512,6.6168
704,6.7004
653,5.3001
1571,6.8048
119,5.3001
1437,6.1497
1439,5.9655
887,6.1385
444,5.7145
242,5.8464
689,6.9876
297,5.7101
34,5.3001
1808,6.3492
263,6.6978
1572,6.0098
1450,7.0465
997,5.7886
82,5.9773
1549,6.9918
571,5.3001
323,7.3578
968,6.8943
577,6.1777
824,5.9517
1040,7.1541
1381,6.1472
1507,7.0713
1503,7.3706
1229,5.3001
455,6.4706
1421,7.3099
1035,5.8797
1792,5.8566
146,5.7141
556,5.3001
1051,6.6068
721,7.1684
861,5.3001
164,6.0409
179,7.5601
684,5.7337
1648,6.4864
405,5.3001
244,6.515
1308,6.2035
1155,6.9096
666,5.9844
278,5.3001
892,6.0488
120,6.6303
894,5.4547
1223,6.205
1395,6.5601
1469,7.0098
1406,7.0806
430,6.6684
1799,5.9959
208,6.3015
624,6.5678
1189,5.6872
79,6.3162
901,5.7789
909,5.8934
671,5.8833
1130,7.0948
12,6.2215
1013,6.5486
529,6.6578
1474,7.0478
1740,6.9149
1067,7.015
1435,5.9311
1693,6.7063
1315,5.7927
1222,6.7246
113,5.3001
418,6.6121
1576,6.5104
1357,6.4129
436,7.1764
467,5.3001
9,6.3031
829,5.7614
548,5.3001
1007,6.53
107,6.4713
1734,6.4518
257,6.6731
950,6.534
1416,5.7886
213,6.4479
1353,5.514
1403,6.1396
932,6.6309
1142,5.846
191,5.867
844,5.6795
1236,6.1218
1333,6.1352
897,5.7225
777,5.6386
1806,6.5489
1737,7.1979
370,6.2991
784,6.7135
519,6.2839
1216,6.9418
742,5.7418
1072,6.4808
152,5.3001
217,6.3207
1052,6.7191
1342,6.8956
1554,6.0679
774,6.2594
648,5.6776
1074,6.9449
123,6.3343
1076,6.3953
945,7.002
541,6.3122
234,6.3338
618,6.0932
1687,7.0373
586,5.8709
1207,5.9296
140,5.3001
917,6.3918
1702,6.4056
85,6.2123
111,5.3001
835,5.9777
1299,7.3366
193,6.5438
765,6.761
878,5.6382
1566,6.3316
726,6.3484
567,5.3001
376,5.8616
585,5.9238
521,6.7242
1440,6.2708
1670,6.3104
924,7.0491
125,5.3001
490,6.1492
836,7.1734
1337,5.89
43,7.7033
729,6.8987
908,6.1137
988,6.0771
609,5.8343
143,6.2989
76,5.8972
1497,6.7081
539,6.8068
47,6.8256
247,5.9348
650,5.6883
67,5.3363
1500,6.8862
1385,5.9651
576,6.4374
336,7.0791
663,5.9552
23,7.0035
584,6.2198
1238,5.3001
925,6.5807
189,5.3001
340,5.3001
1282,6.332
1383,5.8817
867,6.6993
308,6.5145
192,5.777
1095,7.1876
130,5.9485
298,5.3001
884,5.6307
1510,6.1852
1726,6.8765
41,5.3001
1149,6.8218
1320,6.4975
1393,5.8128
1093,5.9497
135,7.0627
931,6.2094
1415,6.0157
1724,6.4823
48,7.146
866,5.8313
1171,5.3001
1774,6.3968
517,5.7542
598,6.108
163,5.9667
1032,6.6552
451,6.1374
271,7.2024
688,6.6031
428,6.5812
542,6.0402
713,5.933
117,5.7517
1061,5.3001
1755,7.0657
95,6.1396
1080,6.2983
583,6.3019
356,5.4501
559,5.3001
1157,6.7789
1161,5.8934
499,6.4292
150,5.3001
1811,7.0471
803,7.3384
949,6.2123
1471,6.2993
597,6.1594
17,5.3001
241,5.8361
503,6.825
717,5.8777
1281,7.0271
86,6.0671
1622,7.311
1464,6.0105
2,5.3001
1277,7.4012
974,6.8835
959,7.1052
558,5.3001
1730,6.1037
1662,6.4777
1515,6.4172
375,5.3001
402,5.3001
156,5.7211
702,6.1355
856,6.0776
1014,6.7572
629,7.049
1522,5.3001
1682,5.7757
36,4.6012
1115,5.3001
852,6.4523
1311,6.1975
1266,7.0749
613,6.8201
299,5.3001
1355,5.8516
