,Act
98,5.6326
115,6.7063
96,6.4888
175,6.4615
106,6.534
36,5.4118
51,5.7614
184,6.9641
2,5.3001
17,5.715
60,5.7614
22,5.3001
109,6.3492
197,6.6191
117,5.888
132,5.9695
162,5.6655
195,5.3001
188,5.3001
55,6.204
39,6.142
145,5.9695
183,7.0439
187,5.7214
121,5.9695
37,5.3001
92,6.0496
34,5.7145
66,6.0656
105,6.0804
75,6.5665
198,6.8775
152,5.9695
108,6.4416
161,6.5461
84,6.8335
20,5.3001
54,6.7885
94,6.6098
57,5.7614
135,5.9695
157,5.9695
65,7.0832
120,5.9695
182,6.7356
179,6.2576
15,5.3001
47,5.7614
131,5.9695
165,6.4793
80,6.0637
8,5.3227
48,7.0832
149,5.9695
178,5.9219
58,6.7885
85,6.6328
112,6.6826
88,6.4965
155,5.9695
189,5.3001
44,7.0832
52,5.7614
86,6.2456
166,5.7665
107,6.0122
186,6.1421
191,5.3001
133,5.9695
134,5.9695
64,7.0832
123,5.9695
173,6.1218
71,6.5665
158,5.9695
174,6.0344
113,6.4965
122,5.9695
150,5.9695
35,6.6613
141,5.9695
61,6.0656
32,5.6801
192,5.3001
11,6.3068
45,6.7885
164,5.3216
70,5.7614
160,5.9869
87,6.6625
172,6.9192
5,5.3001
101,6.3453
29,5.3001
124,5.9695
137,5.9695
31,6.5265
23,5.3001
167,5.3001
25,6.1431
199,6.5069
148,5.9695
111,6.3019
142,5.9695
140,5.9695
147,5.9695
38,6.7496
12,5.3001
63,6.2402
95,6.2233
128,5.9695
41,6.5665
81,6.6791
74,6.0656
13,7.0563
27,5.3666
56,6.7885
181,6.6231
126,5.9695
185,5.9699
46,6.7885
168,5.9337
156,5.9695
116,6.3916
102,6.9776
138,5.9695
7,5.3001
153,5.9695
73,6.7885
79,6.7885
9,5.3001
119,6.467
97,4.6012
3,5.3001
125,5.9695
0,5.715
26,6.5063
90,6.9726
100,6.4177
24,5.5855
59,7.0832
143,5.9695
16,5.9728
118,6.8462
33,6.0954
130,5.9695
62,6.204
69,6.7885
146,5.9695
76,6.0656
43,6.2402
49,6.5665
176,6.5461
6,6.0954
169,5.3758
193,6.7356
114,7.0141
72,6.0656
104,6.3816
10,5.6849
